date,cash,stock_value,total_value
2016-10-20,1692901.2244335175,6063841.380841,7756742.605274517
2016-10-21,1692901.2244335175,6004770.753371,7697671.977804517
2016-10-24,1692901.2244335175,6034911.424774002,7727812.649207519
2016-10-25,1692901.2244335175,6110193.539192,7803094.763625517
2016-10-26,1692901.2244335175,6128633.330805001,7821534.555238519
2016-10-27,1692901.2244335175,6141254.071233,7834155.295666518
2016-10-28,1692901.2244335175,6123493.230201001,7816394.454634519
2016-10-31,1692901.2244335175,6084258.957096999,7777160.181530517
2016-11-01,1345473.299679699,6587497.788713,7932971.088392699
2016-11-02,1345473.299679699,6597962.106962998,7943435.406642698
2016-11-03,1345473.299679699,6644668.470310999,7990141.7699906975
2016-11-04,1345473.299679699,6623540.310520002,7969013.610199701
2016-11-07,1345473.299679699,6608163.886032996,7953637.185712695
2016-11-08,1345473.299679699,6633525.588419999,7978998.888099698
2016-11-09,1345473.299679699,6630411.320811999,7975884.620491698
2016-11-10,1345473.299679699,6742866.121712001,8088339.421391699
2016-11-11,1345473.299679699,6718189.032119002,8063662.331798701
2016-11-14,1345473.299679699,6731057.135299,8076530.434978699
2016-11-15,1345473.299679699,6751577.951016998,8097051.250696696
2016-11-16,1345473.299679699,6710326.430022,8055799.7297017
2016-11-17,1345473.299679699,6679395.446159003,8024868.745838702
2016-11-18,1345473.299679699,6688333.260414998,8033806.560094697
2016-11-21,1345473.299679699,6752965.115047999,8098438.414727697
2016-11-22,1345473.299679699,6845137.380139002,8190610.679818701
2016-11-23,1345473.299679699,6805043.634653002,8150516.9343327
2016-11-24,1345473.299679699,6756580.780975002,8102054.080654701
2016-11-25,1345473.299679699,6737843.362906,8083316.662585698
2016-11-28,1345473.299679699,6733983.457319996,8079456.756999696
2016-11-29,1345473.299679699,6637776.894185999,7983250.193865698
2016-11-30,1345473.299679699,6600792.2575090015,7946265.557188701
2016-12-01,1345473.299679699,6679238.725643001,8024712.0253227
2016-12-02,1345473.299679699,6562700.844110002,7908174.143789701
2016-12-05,1345473.299679699,6570670.898316998,7916144.197996696
2016-12-06,1345473.299679699,6641506.740944,7986980.040623698
2016-12-07,1345473.299679699,6703468.532278004,8048941.831957703
2016-12-08,1345473.299679699,6626838.348945999,7972311.648625698
2016-12-09,1345473.299679699,6655419.603466,8000892.903145699
2016-12-12,1345473.299679699,6304232.420854999,7649705.720534697
2016-12-13,1345473.299679699,6334844.857833001,7680318.1575127
2016-12-14,1345473.299679699,6271300.425329001,7616773.7250087
2016-12-15,1345473.299679699,6321197.779347,7666671.079026699
2016-12-16,1345473.299679699,6435312.003228999,7780785.302908698
2016-12-19,1345473.299679699,6424881.011898001,7770354.3115777
2016-12-20,1345473.299679699,6434688.493261,7780161.792940699
2016-12-21,1345473.299679699,6482394.248519001,7827867.5481987
2016-12-22,1345473.299679699,6446457.493278995,7791930.792958694
2016-12-23,1345473.299679699,6403793.584272998,7749266.883952698
2016-12-26,1345473.299679699,6445321.538414001,7790794.8380937
2016-12-27,1345473.299679699,6451184.438309,7796657.737988699
2016-12-28,1345473.299679699,6367370.507133001,7712843.8068127
2016-12-29,1345473.299679699,6311996.6891830005,7657469.988862699
2016-12-30,1345473.299679699,6320445.044683,7665918.344362698
2017-01-03,1345473.299679699,6398899.684756,7744372.984435698
2017-01-04,1345473.299679699,6526392.347038,7871865.646717699
2017-01-05,1345473.299679699,6543262.038994,7888735.3386737
2017-01-06,1345473.299679699,6508804.518848998,7854277.818528697
2017-01-09,1345473.299679699,6502206.815028998,7847680.114708697
2017-01-10,1345473.299679699,6474261.445099,7819734.744778698
2017-01-11,1345473.299679699,6384876.277855001,7730349.5775347
2017-01-12,1345473.299679699,6332133.771331,7677607.0710106995
2017-01-13,1345473.299679699,6236265.403661001,7581738.7033407
2017-01-16,1345473.299679699,5948071.032401001,7293544.3320806995
2017-01-17,1345473.299679699,6051533.067583998,7397006.367263697
2017-01-18,1345473.299679699,6032586.1003720015,7378059.4000517
2017-01-19,1345473.299679699,5985077.698454,7330550.998133698
2017-01-20,1345473.299679699,6075329.354246002,7420802.6539257
2017-01-23,1345473.299679699,6150538.361456,7496011.6611357
2017-01-24,1345473.299679699,6123617.139007003,7469090.438686702
2017-01-25,1345473.299679699,6123663.247503003,7469136.547182701
2017-01-26,1345473.299679699,6170782.064175,7516255.363854699
2017-02-03,1345473.299679699,6123830.696953002,7469303.996632701
2017-02-06,285215.92891326314,7280462.781728999,7565678.710642261
2017-02-07,285215.92891326314,7320522.367797,7605738.296710264
2017-02-08,285215.92891326314,7370328.295410998,7655544.224324262
2017-02-09,285215.92891326314,7444767.021506002,7729982.950419266
2017-02-10,285215.92891326314,7420725.167552001,7705941.096465263
2017-02-13,285215.92891326314,7441385.836203001,7726601.765116265
2017-02-14,285215.92891326314,7428982.190360002,7714198.119273266
