code,name,industry,source,update_date
300857,协创数据,IT设备,tushare,2026-08-04
300859,西域旅游,旅游服务,tushare,2026-08-04
300860,锋尚文化,文教休闲,tushare,2026-08-04
300865,大宏立,专用机械,tushare,2026-08-04
300866,安克创新,元器件,tushare,2026-08-04
300870,欧陆通,电气设备,tushare,2026-08-04
300875,捷强装备,专用机械,tushare,2026-08-04
300877,金春股份,纺织,tushare,2026-08-04
300879,大叶股份,农用机械,tushare,2026-08-04
300887,谱尼测试,电器仪表,tushare,2026-08-04
300893,松原安全,汽车配件,tushare,2026-08-04
300900,广联航空,航空,tushare,2026-08-04
300910,瑞丰新材,化工原料,tushare,2026-08-04
300926,博俊科技,汽车配件,tushare,2026-08-04
300940,南极光,元器件,tushare,2026-08-04
300956,英力股份,元器件,tushare,2026-08-04
300961,深水海纳,环境保护,tushare,2026-08-04
300965,恒宇信通,航空,tushare,2026-08-04
300972,万辰集团,食品,tushare,2026-08-04
300979,华利集团,服饰,tushare,2026-08-04
300980,祥源新材,塑料,tushare,2026-08-04
300985,致远新能,汽车配件,tushare,2026-08-04
300989,蕾奥规划,建筑工程,tushare,2026-08-04
300991,创益通,元器件,tushare,2026-08-04
300995,奇德新材,塑料,tushare,2026-08-04
300996,普联软件,软件服务,tushare,2026-08-04
301001,凯淳股份,互联网,tushare,2026-08-04
301004,嘉益股份,家居用品,tushare,2026-08-04
301011,华立科技,文教休闲,tushare,2026-08-04
301021,英诺激光,专用机械,tushare,2026-08-04
301025,读客文化,出版业,tushare,2026-08-04
301035,润丰股份,农药化肥,tushare,2026-08-04
301036,双乐股份,染料涂料,tushare,2026-08-04
301061,匠心家居,家居用品,tushare,2026-08-04
301073,君亭酒店,酒店餐饮,tushare,2026-08-04
301079,邵阳液压,机械基件,tushare,2026-08-04
301095,广立微,半导体,tushare,2026-08-04
301096,百诚医药,医疗保健,tushare,2026-08-04
301116,益客食品,食品,tushare,2026-08-04
301128,强瑞技术,专用机械,tushare,2026-08-04
301150,中一科技,电气设备,tushare,2026-08-04
301153,中科江南,软件服务,tushare,2026-08-04
301155,海力风电,电气设备,tushare,2026-08-04
301160,翔楼新材,机械基件,tushare,2026-08-04
301178,天亿马,软件服务,tushare,2026-08-04
301180,万祥科技,元器件,tushare,2026-08-04
301189,奥尼电子,IT设备,tushare,2026-08-04
301200,大族数控,专用机械,tushare,2026-08-04
301201,诚达药业,生物制药,tushare,2026-08-04
301213,观想科技,软件服务,tushare,2026-08-04
301221,光庭信息,软件服务,tushare,2026-08-04
301232,飞沃科技,机械基件,tushare,2026-08-04
301235,华康洁净,医疗保健,tushare,2026-08-04
301265,华新科技,环境保护,tushare,2026-08-04
301269,华大九天,半导体,tushare,2026-08-04
301270,汉仪股份,软件服务,tushare,2026-08-04
301291,明阳电气,电气设备,tushare,2026-08-04
301326,捷邦科技,元器件,tushare,2026-08-04
301327,华宝新能,电气设备,tushare,2026-08-04
301345,涛涛车业,摩托车,tushare,2026-08-04
301349,信德新材,化工原料,tushare,2026-08-04
301369,联动科技,半导体,tushare,2026-08-04
301377,鼎泰高科,机械基件,tushare,2026-08-04
301396,宏景科技,软件服务,tushare,2026-08-04
301511,德福科技,电气设备,tushare,2026-08-04
301528,多浦乐,电器仪表,tushare,2026-08-04
301571,国科天成,元器件,tushare,2026-08-04
302132,中航成飞,航空,tushare,2026-08-04
600000,浦发银行,银行,tushare,2026-08-04
600004,白云机场,机场,tushare,2026-08-04
600006,东风股份,汽车整车,tushare,2026-08-04
600009,上海机场,机场,tushare,2026-08-04
600010,包钢股份,普钢,tushare,2026-08-04
600011,华能国际,火力发电,tushare,2026-08-04
600012,皖通高速,路桥,tushare,2026-08-04
600015,华夏银行,银行,tushare,2026-08-04
600016,民生银行,银行,tushare,2026-08-04
600019,宝钢股份,普钢,tushare,2026-08-04
600022,山东钢铁,普钢,tushare,2026-08-04
600025,华能水电,水力发电,tushare,2026-08-04
600026,中远海能,水运,tushare,2026-08-04
600027,华电国际,火力发电,tushare,2026-08-04
600028,中国石化,石油加工,tushare,2026-08-04
600029,南方航空,空运,tushare,2026-08-04
600030,中信证券,证券,tushare,2026-08-04
600031,三一重工,工程机械,tushare,2026-08-04
600032,浙江新能,新型电力,tushare,2026-08-04
600033,福建高速,路桥,tushare,2026-08-04
600036,招商银行,银行,tushare,2026-08-04
600037,歌华有线,影视音像,tushare,2026-08-04
600038,中直股份,航空,tushare,2026-08-04
600039,四川路桥,建筑工程,tushare,2026-08-04
600048,保利发展,全国地产,tushare,2026-08-04
600050,中国联通,电信运营,tushare,2026-08-04
600052,东望时代,供气供热,tushare,2026-08-04
600055,万东医疗,医疗保健,tushare,2026-08-04
600056,中国医药,医药商业,tushare,2026-08-04
600058,五矿发展,商贸代理,tushare,2026-08-04
600059,古越龙山,红黄酒,tushare,2026-08-04
600061,国投资本,证券,tushare,2026-08-04
600062,华润双鹤,化学制药,tushare,2026-08-04
600066,宇通客车,汽车整车,tushare,2026-08-04
600067,冠城新材,电气设备,tushare,2026-08-04
600071,凤凰光学,元器件,tushare,2026-08-04
600072,中船科技,电气设备,tushare,2026-08-04
600073,光明肉业,食品,tushare,2026-08-04
600075,新疆天业,化工原料,tushare,2026-08-04
600078,澄星股份,化工原料,tushare,2026-08-04
600081,东风科技,汽车配件,tushare,2026-08-04
600085,同仁堂,中成药,tushare,2026-08-04
600088,中视传媒,影视音像,tushare,2026-08-04
600089,特变电工,电气设备,tushare,2026-08-04
600094,大名城,区域地产,tushare,2026-08-04
600095,湘财股份,证券,tushare,2026-08-04
600096,云天化,农药化肥,tushare,2026-08-04
600103,青山纸业,造纸,tushare,2026-08-04
600104,上汽集团,汽车整车,tushare,2026-08-04
600105,永鼎股份,通信设备,tushare,2026-08-04
600108,亚盛集团,种植业,tushare,2026-08-04
600109,国金证券,证券,tushare,2026-08-04
600110,诺德股份,电气设备,tushare,2026-08-04
600111,北方稀土,小金属,tushare,2026-08-04
600113,浙江东日,区域地产,tushare,2026-08-04
600115,中国东航,空运,tushare,2026-08-04
600117,西宁特钢,特种钢,tushare,2026-08-04
600118,中国卫星,航空,tushare,2026-08-04
600120,浙江东方,多元金融,tushare,2026-08-04
600121,郑州煤电,煤炭开采,tushare,2026-08-04
600125,铁龙物流,铁路,tushare,2026-08-04
600126,杭钢股份,普钢,tushare,2026-08-04
600127,金健米业,农业综合,tushare,2026-08-04
600128,苏豪弘业,商贸代理,tushare,2026-08-04
600129,太极集团,中成药,tushare,2026-08-04
600130,波导股份,元器件,tushare,2026-08-04
600131,国网信通,通信设备,tushare,2026-08-04
600132,重庆啤酒,啤酒,tushare,2026-08-04
600133,东湖高新,环境保护,tushare,2026-08-04
600135,乐凯胶片,塑料,tushare,2026-08-04
600138,中青旅,旅游景点,tushare,2026-08-04
600141,兴发集团,农药化肥,tushare,2026-08-04
600143,金发科技,塑料,tushare,2026-08-04
600149,廊坊发展,综合类,tushare,2026-08-04
600150,中国船舶,船舶,tushare,2026-08-04
600151,航天机电,汽车配件,tushare,2026-08-04
600152,维科技术,电气设备,tushare,2026-08-04
600155,华创云信,证券,tushare,2026-08-04
600157,永泰能源,火力发电,tushare,2026-08-04
600158,中体产业,文教休闲,tushare,2026-08-04
600159,大龙地产,区域地产,tushare,2026-08-04
600160,巨化股份,化工原料,tushare,2026-08-04
600161,天坛生物,生物制药,tushare,2026-08-04
600162,香江控股,全国地产,tushare,2026-08-04
600163,中闽能源,新型电力,tushare,2026-08-04
600166,福田汽车,汽车整车,tushare,2026-08-04
600170,上海建工,建筑工程,tushare,2026-08-04
600171,上海贝岭,半导体,tushare,2026-08-04
600176,中国巨石,玻璃,tushare,2026-08-04
600177,雅戈尔,服饰,tushare,2026-08-04
600178,东安动力,汽车配件,tushare,2026-08-04
600179,安通控股,水运,tushare,2026-08-04
600184,光电股份,专用机械,tushare,2026-08-04
600186,莲花控股,食品,tushare,2026-08-04
600189,泉阳泉,软饮料,tushare,2026-08-04
600191,华资实业,食品,tushare,2026-08-04
600192,长城电工,电气设备,tushare,2026-08-04
600195,中牧股份,农业综合,tushare,2026-08-04
600198,大唐电信,通信设备,tushare,2026-08-04
600199,金种子酒,白酒,tushare,2026-08-04
600202,哈空调,专用机械,tushare,2026-08-04
600203,福日电子,元器件,tushare,2026-08-04
600206,有研新材,半导体,tushare,2026-08-04
600207,安彩高科,电气设备,tushare,2026-08-04
600208,衢州发展,全国地产,tushare,2026-08-04
600211,西藏药业,生物制药,tushare,2026-08-04
600212,绿能慧充,电气设备,tushare,2026-08-04
600215,派斯林,专用机械,tushare,2026-08-04
600216,浙江医药,化学制药,tushare,2026-08-04
600217,中再资环,环境保护,tushare,2026-08-04
600219,南山铝业,铝,tushare,2026-08-04
600221,海航控股,空运,tushare,2026-08-04
600222,太龙药业,中成药,tushare,2026-08-04
600227,赤天化,农药化肥,tushare,2026-08-04
600228,返利科技,互联网,tushare,2026-08-04
600230,沧州大化,化工原料,tushare,2026-08-04
600231,凌钢股份,普钢,tushare,2026-08-04
600233,圆通速递,仓储物流,tushare,2026-08-04
600236,桂冠电力,水力发电,tushare,2026-08-04
600237,铜峰电子,元器件,tushare,2026-08-04
600246,万通发展,区域地产,tushare,2026-08-04
600248,陕建股份,建筑工程,tushare,2026-08-04
600249,两面针,日用化工,tushare,2026-08-04
600251,冠农股份,农业综合,tushare,2026-08-04
600255,鑫科材料,小金属,tushare,2026-08-04
600256,广汇能源,石油开采,tushare,2026-08-04
600257,大湖股份,渔业,tushare,2026-08-04
600258,首旅酒店,酒店餐饮,tushare,2026-08-04
