date,code,action,price,shares
2005-11-01,600373,SELL,0.75707480736,4700
2005-11-01,600641,SELL,1.41148606104,2800
2005-11-01,635,SELL,3.93480128997,800
2005-11-01,545,SELL,0.8197332462,3500
2005-11-01,600058,SELL,4.253545716480001,600
2005-11-01,600110,SELL,1.65436398,1900
2005-11-01,600203,SELL,2.98679077944,1100
2005-11-01,600736,SELL,1.78738518564,2000
2005-11-01,600673,SELL,0.65113808013,18800
2005-11-01,600268,SELL,1.1741630616,3700
2005-11-01,600808,SELL,1.72098265464,2000
2005-11-01,600802,SELL,1.20072691116,2500
2005-11-01,600549,SELL,2.24943327504,1800
2005-11-01,600711,SELL,1.096029873,4000
2005-11-01,68,SELL,3.6860908194,2700
2005-11-01,600266,SELL,1.701822474,2100
2005-11-01,795,SELL,1.3965539481,2400
2005-11-01,881,SELL,2.48443911396,5300
2005-11-01,981,SELL,0.6141617235,21800
2005-11-01,600720,SELL,0.8593795602,3300
2005-11-01,600872,SELL,1.228495275,2700
2005-11-01,1696,SELL,0.6187423682700001,6300
2005-11-01,524,SELL,2.16979401402,5700
2005-11-01,888,SELL,1.9891220868,6200
2005-11-01,422,BUY,1.5379817052599998,3300
2005-11-01,600009,BUY,11.696537612759998,400
2005-11-01,541,BUY,1.5830125310999998,3200
2005-11-01,600085,BUY,5.24378914059,900
2005-11-01,600749,BUY,4.665743272189999,1100
2005-11-01,600583,BUY,2.2647310686,2200
2005-11-01,39,BUY,2.28592489125,2200
2005-11-01,88,BUY,3.73114266525,1300
2005-11-01,600694,BUY,7.151076252319999,700
2005-11-01,600676,BUY,1.5218830626999995,3400
2005-11-01,538,BUY,3.4859682858,1400
2005-11-01,600500,BUY,2.1391502132,2400
2005-11-01,49,BUY,2.47970714992,2000
2005-11-01,567,BUY,0.5496913421999999,9400
2005-11-01,63,BUY,5.721185650179999,900
2005-11-01,951,BUY,2.11368603446,2400
2005-11-01,600496,BUY,0.99447533185,5200
2005-11-01,600521,BUY,1.80635086632,2800
2005-11-01,758,BUY,1.55128669696,3300
2005-11-01,600346,BUY,0.4525933912499999,11400
2005-11-01,600308,BUY,1.92152375415,2700
2005-11-01,600129,BUY,2.9085030975,1700
2005-11-01,875,BUY,2.4274392542399994,2100
2005-11-01,729,BUY,2.31669403966,2200
