date,cash,stock,total_value,position
2018-04-03,86610680.33473542,37118863.0006009,123729543.33533633,0.3
2018-04-04,86450948.91556951,37050406.67810122,123501355.59367073,0.3
2018-04-09,86469364.22159256,37058298.952111095,123527663.17370366,0.3
2018-04-10,86693777.10661885,37154475.90283664,123848253.00945549,0.3
2018-04-11,86888629.59819874,37237984.113513745,124126613.71171248,0.3
2018-04-12,86705770.50227524,37159615.929546535,123865386.43182178,0.3
2018-04-13,86644283.54807347,37133264.37774577,123777547.92581925,0.3
2018-04-16,86461099.17446454,37054756.78905623,123515855.96352077,0.3
2018-04-17,85850070.1388821,36792887.20237804,122642957.34126014,0.3
2018-04-18,86276049.00039862,36975449.57159941,123251498.57199803,0.3
2018-04-19,86589320.72753692,37109708.88323011,123699029.61076704,0.3
2018-04-20,86051597.96101108,36879256.269004755,122930854.23001584,0.3
2018-04-23,85834851.83526698,36786365.07225727,122621216.90752424,0.3
2018-04-24,86515330.34045336,37077998.717337154,123593329.05779052,0.3
2018-04-25,86503196.47343862,37072798.48861655,123575994.96205516,0.3
2018-04-26,85958326.48924783,36839282.78110621,122797609.27035405,0.3
2018-04-27,85952215.12388498,36836663.62452213,122788878.7484071,0.3
2018-05-02,85989890.3401944,36852810.1457976,122842700.48599201,0.3
2018-05-03,77352624.01208603,33151124.576608293,110503748.58869432,0.3
2018-05-04,77314611.7904023,33134833.624458127,110449445.41486043,0.3
2018-05-07,77808048.99744675,33346306.713191457,111154355.7106382,0.3
2018-05-08,77888923.27552721,33380967.11808309,111269890.3936103,0.3
2018-05-09,77839273.01163346,33359688.43355719,111198961.44519064,0.3
2018-05-10,78022847.15653089,33438363.067084663,111461210.22361554,0.3
2018-05-11,77757139.51910396,33324488.365330264,111081627.88443422,0.3
2018-05-14,77706442.51424256,33302761.077532526,111009203.59177509,0.3
2018-05-15,78149360.5536115,33492583.094404925,111641943.64801642,0.3
2018-05-16,78089411.50229408,33466890.643840317,111556302.14613439,0.3
2018-05-17,77818217.6223962,33350664.695312653,111168882.31770885,0.3
2018-05-18,77924149.9841321,33396064.27891375,111320214.26304585,0.3
2018-05-21,78265647.79016218,33542420.481498074,111808068.27166025,0.3
2018-05-22,78446321.64483932,33619852.133502565,112066173.77834189,0.3
2018-05-23,78243089.81371771,33532752.777307585,111775842.5910253,0.3
2018-05-24,78193904.15191975,33511673.20796561,111705577.35988536,0.3
2018-05-25,77959586.8243437,33411251.496147294,111370838.32049099,0.3
2018-05-28,77941854.69292274,33403652.011252604,111345506.70417535,0.3
2018-05-29,77566889.59656252,33242952.684241075,110809842.28080359,0.3
2018-05-30,76879631.11425535,32948413.334680866,109828044.44893622,0.3
2018-05-31,77322924.74759942,33138396.320399754,110461321.06799918,0.3
2018-06-01,76959485.41980907,32982636.608489603,109942122.02829868,0.3
2018-06-04,76801771.97932197,32915045.13399513,109716817.1133171,0.3
2018-06-05,77302838.36545622,33129787.870909803,110432626.23636602,0.3
2018-06-06,77466274.01535833,33199831.720867854,110666105.73622619,0.3
2018-06-07,77347730.00813395,33149027.14634312,110496757.15447707,0.3
2018-06-08,77160163.22563362,33068641.382414408,110228804.60804804,0.3
2018-06-11,76932726.47585024,32971168.4896501,109903894.96550034,0.3
2018-06-12,77263580.56942567,33112963.101182424,110376543.67060809,0.3
2018-06-13,76990432.4828839,32995899.635521673,109986332.11840558,0.3
2018-06-14,76929872.90048853,32969945.528780792,109899818.42926931,0.3
2018-06-15,76443047.13702329,32761305.91586712,109204353.0528904,0.3
2018-06-19,74986612.31515351,32137119.56363722,107123731.87879074,0.3
2018-06-20,75509542.11039248,32361232.333025344,107870774.44341782,0.3
2018-06-21,75140998.32471967,32203284.996308424,107344283.32102808,0.3
2018-06-22,75619243.81590706,32408247.349674452,108027491.16558151,0.3
2018-06-25,75524073.70082083,32367460.157494638,107891533.85831547,0.3
2018-06-26,75631039.37908441,32413302.59103617,108044341.97012058,0.3
2018-06-27,75302341.71233162,32272432.16242784,107574773.87475947,0.3
2018-06-28,75065082.58361313,32170749.67869134,107235832.26230447,0.3
2018-06-29,75925118.4151514,32539336.463636313,108464454.87878771,0.3
2018-07-02,75711473.54798067,32447774.377706,108159247.92568667,0.3
2018-07-03,75875176.2943782,32517932.69759066,108393108.99196887,0.3
2018-07-04,75435845.6928148,32329648.154063486,107765493.84687829,0.3
2018-07-05,74732136.66587895,32028058.571090978,106760195.23696993,0.3
2018-07-06,74903591.20354542,32101539.087233745,107005130.29077916,0.3
2018-07-09,75540552.16193977,32374522.355117045,107915074.51705682,0.3
2018-07-10,75914570.99599332,32534816.141139988,108449387.1371333,0.3
2018-07-11,75565337.49167554,32385144.639289513,107950482.13096505,0.3
2018-07-12,76276993.24557064,32690139.962387417,108967133.20795806,0.3
2018-07-13,76582048.02510057,32820877.725043103,109402925.75014368,0.3
2018-07-16,76695039.18521641,32869302.50794989,109564341.6931663,0.3
2018-07-17,76599188.67444614,32828223.71761977,109427412.3920659,0.3
2018-07-18,76375775.23684642,32732475.101505607,109108250.33835202,0.3
2018-07-19,76071974.90882272,32602274.960924022,108674249.86974674,0.3
2018-07-20,76353652.74820393,32722994.03494454,109076646.78314848,0.3
2018-07-23,76417129.61639297,32750198.407025557,109167328.02341853,0.3
2018-07-24,76589014.8223876,32823863.495308973,109412878.31769659,0.3
2018-07-25,76625158.74967209,32839353.74985946,109464512.49953154,0.3
2018-07-26,76339369.08866279,32716872.466569766,109056241.55523255,0.3
2018-07-27,76264701.57236844,32684872.102443613,108949573.67481205,0.3
2018-07-30,75916885.3409374,32535808.003258884,108452693.34419629,0.3
2018-07-31,75856273.14015964,32509831.345782705,108366104.48594235,0.3
2018-08-01,79263942.54604155,33970261.09116066,113234203.63720222,0.3
2018-08-02,78904968.29381686,33816414.983064376,112721383.27688125,0.3
2018-08-03,78509481.17802626,33646920.504868396,112156401.68289465,0.3
2018-08-06,77953483.46375088,33408635.770178948,111362119.23392983,0.3
