date,cash,stock_value,total_value,close,ma120,ma250,target_position,overlay_total,overlay_stock,overlay_cash
2024-09-23,676945.8644522846,5699697.999959998,6376643.864412283,3212.764,3463.7174166666664,3475.74262,0.3,6376643.864412283,1912993.1593236846,4463650.705088598
2024-09-24,676945.8644522846,5882036.149005002,6558982.013457287,3351.909,3462.3086166666667,3474.080108,0.3,6558982.013457287,1967694.6040371861,4591287.409420101
2024-09-25,676945.8644522846,5911299.793667001,6588245.6581192855,3401.533,3461.1756916666664,3472.64382,0.3,6588245.6581192855,1976473.6974357856,4611771.9606835
2024-09-26,676945.8644522846,6104311.565837001,6781257.430289286,3545.32,3460.7563,3471.8784960000003,1.0,6781257.430289286,6781257.430289286,0.0
2024-09-27,676945.8644522846,6355644.7061720025,7032590.570624287,3703.685,3461.7813749999996,3471.759204,1.0,7032590.570624287,7032590.570624287,0.0
2024-09-30,676945.8644522846,7007932.686788,7684878.551240285,4017.855,3465.5318083333336,3472.995516,1.0,7684878.551240285,7684878.551240285,0.0
2024-10-08,676945.8644522846,7467768.745580001,8144714.610032286,4256.096,3471.5292083333334,3475.109056,1.0,8144714.610032286,8144714.610032286,0.0
2024-10-09,676945.8644522846,6857749.054921996,7534694.919374281,3955.984,3475.0500166666666,3476.050984,1.0,7534694.919374281,7534694.919374281,0.0
2024-10-10,676945.8644522846,6884886.698246,7561832.562698285,3997.788,3479.159008333333,3477.2193759999996,1.0,7561832.562698285,7561832.562698285,0.0
2024-10-11,676945.8644522846,6639124.050560998,7316069.915013283,3887.167,3482.3500249999997,3478.0782639999998,1.0,7316069.915013283,7316069.915013283,0.0
2024-10-14,676945.8644522846,6909128.637789002,7586074.502241286,3961.342,3486.395883333333,3478.9679000000006,1.0,7586074.502241286,7586074.502241286,0.0
2024-10-15,676945.8644522846,6731447.463207002,7408393.327659287,3855.995,3488.9535416666668,3479.533464,1.0,7408393.327659287,7408393.327659287,0.0
2024-10-16,676945.8644522846,6706401.028993997,7383346.893446282,3831.589,3491.624158333333,3480.0882479999996,1.0,7383346.893446282,7383346.893446282,0.0
2024-10-17,676945.8644522846,6683847.775630001,7360793.640082286,3788.222,3493.4809833333334,3480.439156,1.0,7360793.640082286,7360793.640082286,0.0
2024-10-18,676945.8644522846,6915818.342887,7592764.207339285,3925.234,3496.4429166666664,3481.3820239999995,1.0,7592764.207339285,7592764.207339285,0.0
2024-10-21,676945.8644522846,6954521.0945930015,7631466.959045286,3935.197,3499.722375,3482.3839040000003,1.0,7631466.959045286,7631466.959045286,0.0
2024-10-22,676945.8644522846,7040714.392598,7717660.257050285,3957.776,3503.279633333333,3483.586504,1.0,7717660.257050285,7717660.257050285,0.0
2024-10-23,676945.8644522846,7045305.742125,7722251.606577285,3973.209,3507.1711666666665,3484.809148,1.0,7722251.606577285,7722251.606577285,0.0
2024-10-24,676945.8644522846,7029910.586591001,7706856.451043285,3928.833,3510.5645916666667,3485.7149520000003,1.0,7706856.451043285,7706856.451043285,0.0
2024-10-25,676945.8644522846,7044988.407042,7721934.271494285,3956.421,3514.1157583333334,3486.8869959999997,1.0,7721934.271494285,7721934.271494285,0.0
2024-10-28,676945.8644522846,7141901.099893001,7818846.964345286,3964.157,3517.281491666667,3488.237236,1.0,7818846.964345286,7818846.964345286,0.0
2024-10-29,676945.8644522846,7023631.820299001,7700577.684751286,3924.649,3519.7876333333334,3489.378224,1.0,7700577.684751286,7700577.684751286,0.0
2024-10-30,676945.8644522846,7049360.642835999,7726306.507288284,3889.449,3522.163091666667,3490.493712,1.0,7726306.507288284,7726306.507288284,0.0
2024-10-31,676945.8644522846,7056296.033440998,7733241.897893283,3891.04,3524.106116666667,3491.923692,1.0,7733241.897893283,7733241.897893283,0.0
2024-11-01,4383528.750842825,3081319.500675,7464848.251517825,3890.02,3526.031216666667,3493.441416,1.0,7464848.251517825,7464848.251517825,0.0
