code,buy_date,sell_date,shares,avg_cost,sell_price,loss_amount,return,holding_days,max_position_value,name,industry,contribution
600166,2005-02-01,2005-05-10 00:00:00,20200,0.7312644739399999,0.51236594118,-4421.750361751999,-0.2993424958559665,98,33273.302827765,福田汽车,汽车整车,5.701560389840377e-05
002546,2016-05-04,2016-11-01 00:00:00,3400,9.405454378319998,8.105925959999999,-4418.396622287998,-0.13816753194991538,181,31978.544886287993,新联电子,电气设备,5.697235960254485e-05
000923,2008-11-03,2009-11-03 00:00:00,3100,7.758426256871612,6.33440114811,-4414.4778371609955,-0.1835456137126208,365,37642.691267181006,河钢资源,普钢,5.6921829409231175e-05
000422,2018-11-01,2019-11-01 00:00:00,5700,3.4423976987400002,2.6681687604,-4413.104948538002,-0.22490978849520682,365,14546.32725546,湖北宜化,农药化肥,5.69041269006042e-05
600521,2006-08-01,2006-11-01 00:00:00,7700,2.63184171432,2.06004513276,-4402.833678012001,-0.21726100716803087,92,15207.398774567999,华海药业,化学制药,5.67716855269551e-05
000548,2008-05-06,2008-11-03 00:00:00,900,7.447153393679999,2.55762905076,-4400.571908627999,-0.6565628615988328,181,16032.40612974,湖南投资,路桥,5.674252147725586e-05
000155,2009-05-05,2009-11-03 00:00:00,2800,9.984443182999998,8.41431850875,-4396.349087899994,-0.15725710943233862,182,58819.54965486599,川能动力,新型电力,5.668807094200074e-05
000567,2005-11-01,2006-05-09 00:00:00,9400,1.070576952125532,0.60345236358,-4390.971132328001,-0.436329763701805,189,73663.32241067801,海德股份,多元金融,5.6618725691909673e-05
600595,2008-05-06,2008-11-03 00:00:00,700,8.632027404,2.37863664234,-4377.373533162,-0.7244405594405594,181,64518.338644760006,中孚实业,铝,5.6443393467204254e-05
600353,2010-05-05,2010-08-03 00:00:00,6800,2.618670302483529,1.97699089014,-4363.4200039359985,-0.24504016856759891,90,15799.45753386,旭光电子,元器件,5.626347175515643e-05
000973,2007-11-01,2008-05-06 00:00:00,5900,3.692053365,2.9537817615,-4355.802460649999,-0.19996233274921793,187,112766.09451307199,佛塑科技,塑料,5.616524847361835e-05
300292,2015-11-03,2016-05-04 00:00:00,2900,9.5978450568,8.106527118239999,-4324.822021824005,-0.1553804973652304,183,27833.750664720003,吴通控股,互联网,5.576577580234757e-05
601398,2009-11-03,2010-05-05 00:00:00,14100,2.18087097228,1.876304817,-4294.382789448001,-0.13965344999827767,183,30750.280709148003,工商银行,银行,5.5373281637336845e-05
600807,2008-05-06,2008-11-03 00:00:00,2100,3.07848877336,1.0343282364,-4292.737127616,-0.6640142899494521,181,59098.039,济高发展,医疗保健,5.5352061895043007e-05
000518,2007-11-01,2008-05-06 00:00:00,4400,6.0196499999999995,5.04495,-4288.679999999998,-0.16191971294012097,187,133861.728,四环生物,生物制药,5.5299747865033485e-05
002099,2010-11-02,2011-05-04 00:00:00,7100,5.599346152399999,4.996023065909999,-4283.593914078998,-0.10774884603828294,183,218445.58896159995,海翔药业,化学制药,5.523416608484677e-05
