code,buy_date,buy_price,shares,buy_technical_score,buy_trend_score,buy_momentum_score,break_ma20_date,break_ma60_date,break_ma120_date,technical_score_low,max_loss_after_ma60,holding_days
300069,2016-11-01,46.23,1600,0.8878918110132512,1.0,0.9172715557179952,2016-11-25,2017-01-10,2017-01-16,0.0452737051799432,-0.8195976638546398,480
300283,2016-11-01,10.13077447,7500,0.851823443277721,1.0,0.7025272198253927,2016-11-28,2016-12-08,2016-12-12,0.1006170141073194,-0.6359463167478844,480
600215,2016-11-01,8.05249776,9300,0.3722077384068826,0.0,0.7717692063411692,2016-11-01,2017-02-15,2017-04-24,0.1173813570889475,-0.23837513740581284,480
600103,2016-11-01,4.99874592,15600,0.338286063456764,0.0,0.6198958656764195,2016-11-01,2016-11-02,2016-12-05,0.1324003167825067,-0.6383928571428572,480
600339,2016-11-01,5.6942487,13200,0.3175464292413388,0.0,0.6036244710931853,2016-11-01,2017-01-17,2017-04-20,0.0973701813361866,-0.41587301587301584,480
601177,2016-11-01,10.91005578,6800,0.3309420578924085,0.0,0.7799712742678158,2016-11-01,2016-11-29,2016-12-12,0.1065973558012548,-0.4976243512844808,480
300136,2016-11-01,25.43723,2900,0.338375652742125,0.0,0.7367091228550818,2016-11-01,2016-12-20,2018-01-11,0.0777913849299563,-0.1975093329737554,480
600640,2016-11-01,21.02396786,3600,0.3462625590514845,0.0,0.748698467595777,2016-11-01,2016-11-09,2016-12-13,0.0848615810528344,-0.612399198178759,480
300132,2016-11-01,10.86659098,7200,0.8433706703016284,1.0,0.7491093090129397,2016-11-21,2016-12-12,2017-01-16,0.1421165533544475,-0.38330341113105926,480
300252,2016-11-01,27.15797504,2700,0.3076604970728925,0.0,0.6291896188832803,2016-11-01,2016-11-07,2016-11-29,0.0934841764297059,-0.7149351294197228,480
300238,2016-11-01,42.95821533,1700,0.262936129070614,0.0,0.4200293183596483,2016-11-01,2016-11-01,2016-11-01,0.0100693048290188,-0.799107110625864,480
600257,2017-02-06,10.35846635,111300,0.2533750431858756,0.0,0.3785330490235614,2017-02-06,2017-02-06,2017-02-06,0.0914427660505741,-0.6408734773753453,417
600685,2017-05-03,30.98445045,1800,0.1979833596301549,0.0,0.4626445401904475,2017-05-03,2017-05-03,2017-05-03,0.0770860252964211,-0.716171953277293,358
600217,2017-05-03,7.6497849,8000,0.1721882837496425,0.0,0.2373587871750043,2017-05-03,2017-05-03,2017-05-03,0.0969920644513988,-0.47600518806744485,358
600435,2017-05-03,15.15568536,3900,0.2189422517845395,0.0,0.3843911462333193,2017-05-03,2017-05-03,2017-05-04,0.11141119726376,-0.5520939278723584,358
300188,2017-05-03,10.93403012,5400,0.2360111374497618,0.0,0.2695900912817447,2017-05-03,2017-05-03,2017-05-03,0.0917290851865311,-0.15412553024867637,358
600155,2017-05-03,16.7559,3400,0.2426746474274851,0.0,0.8089154914249503,2017-05-05,2017-05-10,2017-05-10,0.0601026920144082,-0.6532564648869951,358
300036,2017-05-03,18.86387425,3100,0.3218022095019751,0.0,0.7165984624207422,2017-05-05,2017-05-10,2017-05-09,0.1379111693891128,-0.32921234353542195,358
600698,2017-05-03,10.64,5600,0.2054141525734589,0.0,0.4213097693276982,2017-05-03,2017-05-03,2017-05-08,0.0853435698631635,-0.6306390977443609,358
600582,2017-05-03,3.502704,16300,0.2140734830654154,0.0,0.2763206162263534,2017-05-03,2017-05-03,2017-05-03,0.1528529007992156,-0.3109148674852342,358
300141,2017-05-03,12.6970368,4500,0.1841727980917255,0.0,0.1982557617965539,2017-05-03,2017-05-03,2017-05-03,0.086188981042736,-0.5682187390368121,358
600055,2017-05-03,12.09627811,4900,0.3262518708258222,0.0,0.6131180579496279,2017-05-04,2017-05-08,2017-05-05,0.0925426562213845,-0.5083311134287405,358
600117,2017-05-03,5.34,11200,0.2028977128837569,0.0,0.2813163496512689,2017-05-03,2017-05-03,2017-05-03,0.1067248450317381,-0.26779026217228463,358
600392,2017-05-03,8.83038336,6600,0.2428567406792809,0.0,0.3854556179157208,2017-05-03,2017-05-03,2017-05-03,0.0916075425746948,-0.12872458801154485,358
600184,2017-05-03,19.99651384,2900,0.1907117217702101,0.0,0.2229651216801637,2017-05-03,2017-05-03,2017-05-03,0.111448370315658,-0.5252553932170809,358
300376,2017-05-03,9.6862362,6200,0.1926295692294253,0.0,0.4343388176101553,2017-05-03,2017-05-03,2017-05-03,0.1010332547112193,-0.5945031838063168,358
600545,2017-05-03,13.19898448,4800,0.8169558428637327,1.0,0.7774609147404303,2017-05-08,2017-05-08,2017-05-15,0.1217041783365457,-0.42944381430168943,358
300374,2017-05-03,20.2258316,3000,0.2214767046885863,0.0,0.6826998001836343,2017-05-03,2017-05-08,2017-05-05,0.0714110947866842,-0.640408326152582,358
603616,2017-05-03,29.81070945,2000,0.7986934358062641,1.0,0.9956447860208804,2017-05-22,2017-06-23,2017-07-17,0.0754121241685226,-0.6890499648944115,358
601008,2017-05-03,8.25379242,7500,0.7957985525179476,1.0,0.8848121182247696,2017-05-10,2017-06-01,2017-07-17,0.1370838957352969,-0.6764716842733489,358
600428,2017-05-03,5.72756322,10200,0.2432946324193072,0.0,0.4505044269361245,2017-05-03,2017-05-03,2017-05-03,0.1321769929836876,-0.5282360375238251,358
600540,2017-05-03,6.46,9600,0.1397410218740613,0.0,0.1642159208721003,2017-05-03,2017-05-03,2017-05-03,0.0746246947552951,-0.4969040247678018,358
600309,2017-05-03,18.23937995,3200,0.3171311729014726,0.0,0.6811187506107829,2017-05-03,2017-05-05,2018-01-22,0.1346518319262082,-0.06261054120976295,358
300420,2017-05-03,6.2903187,10500,0.0941168124093638,0.0,0.257215736009713,2017-05-08,2017-05-03,2017-05-03,0.0400688253856417,-0.5053889463502064,358
300222,2017-05-03,23.52164064,2500,0.2506734847235867,0.0,0.4864511367633954,2017-05-03,2017-05-03,2017-05-23,0.1248872404895067,-0.41809629993564945,358
300257,2017-05-03,19.3564075,2900,0.2813160135232057,0.0,0.5002635877157017,2017-05-03,2017-05-03,2017-05-12,0.0630282518079152,-0.5727807239024081,358
600733,2017-05-03,14.33306394,4100,0.3485643428091907,0.0,0.4952144760306357,2018-09-19,2018-09-19,2018-09-19,0.0063364306365561,-0.44882685006706247,358
601118,2017-05-03,5.64954676,10400,0.1887545377815901,0.0,0.1538014896992472,2017-05-03,2017-05-03,2017-05-03,0.0973380713091661,-0.12937062937062938,358
